# F0(1,2),  F0(1,1),  F0(3,4),  F0(3,3) ,  F0(5,6),  F0(5,5),  F0(1,6),  F0(2,6),  F0(3,6),  F0(4,6),  PHY/(2.D0*PI),  PHZ/(2.D0*PI),  SCUM,  NOEL,  R(1,6),  R(2,6),  R(3,6),  R(4,6)
 -1.00177E+00   8.38088E-01   2.62631E+00   5.66140E+00   9.84190E-35   5.19092-270  -4.36900E-03   4.43104E-03   0.00000E+00   0.00000E+00   9.10401E-02   8.74065E-03   3.44786E+01      1  1.14039E-03   6.78419E-03   0.00000E+00   0.00000E+00
 -1.01923E+00   8.48185E-01   2.65600E+00   5.63500E+00   9.84190E-35   5.19092-270  -4.34668E-03   4.50356E-03   0.00000E+00   0.00000E+00   9.19833E-02   8.88145E-03   3.49783E+01      1  1.17456E-03   6.89260E-03   0.00000E+00   0.00000E+00
 -1.03683E+00   8.58457E-01   2.68534E+00   5.60831E+00   9.84190E-35   5.19092-270  -4.32399E-03   4.57645E-03   0.00000E+00   0.00000E+00   9.29152E-02   9.02291E-03   3.54780E+01      1  1.20927E-03   7.00145E-03   0.00000E+00   0.00000E+00
 -1.05456E+00   8.68906E-01   2.71434E+00   5.58133E+00   9.84190E-35   5.19092-270  -4.30093E-03   4.64971E-03   0.00000E+00   0.00000E+00   9.38360E-02   9.16506E-03   3.59777E+01      1  1.24453E-03   7.11075E-03   0.00000E+00   0.00000E+00
 -1.07243E+00   8.79533E-01   2.74298E+00   5.55406E+00   9.84190E-35   5.19092-270  -4.27751E-03   4.72335E-03   0.00000E+00   0.00000E+00   9.47456E-02   9.30790E-03   3.64774E+01      1  1.28033E-03   7.22051E-03   0.00000E+00   0.00000E+00
 -1.09043E+00   8.90338E-01   2.77127E+00   5.52651E+00   9.84190E-35   5.19092-270  -4.25373E-03   4.79737E-03   0.00000E+00   0.00000E+00   9.56443E-02   9.45144E-03   3.69771E+01      1  1.31668E-03   7.33073E-03   0.00000E+00   0.00000E+00
 -1.10858E+00   9.01325E-01   2.79919E+00   5.49867E+00   9.84190E-35   5.19092-270  -4.22957E-03   4.87177E-03   0.00000E+00   0.00000E+00   9.65320E-02   9.59571E-03   3.74768E+01      1  1.35359E-03   7.44142E-03   0.00000E+00   0.00000E+00
 -1.12687E+00   9.12493E-01   2.82676E+00   5.47056E+00   9.84190E-35   5.19092-270  -4.20503E-03   4.94657E-03   0.00000E+00   0.00000E+00   9.74089E-02   9.74071E-03   3.79765E+01      1  1.39104E-03   7.55258E-03   0.00000E+00   0.00000E+00
 -1.14531E+00   9.23845E-01   2.85395E+00   5.44217E+00   9.84190E-35   5.19092-270  -4.18013E-03   5.02177E-03   0.00000E+00   0.00000E+00   9.82750E-02   9.88646E-03   3.84762E+01      1  1.42906E-03   7.66423E-03   0.00000E+00   0.00000E+00
 -1.16390E+00   9.35381E-01   2.88077E+00   5.41351E+00   9.84190E-35   5.19092-270  -4.15484E-03   5.09737E-03   0.00000E+00   0.00000E+00   9.91304E-02   1.00330E-02   3.89758E+01      1  1.46763E-03   7.77637E-03   0.00000E+00   0.00000E+00
